SEQ_NFE;CHAVE_NOTA;COD_UF_EMIT;COD_UF_DEST;TIP_FIN_NFE;SEQ_PROD;COD_CEST;COD_CST;COD_NCM;COD_CFOP;TIP_OPERACAO;EMIT_COD_CNAE;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_PRINC;DEST_IE;DEST_SITUACAO;DEST_IND_SUBLIMITE;DEST_IND_SN;TIPO_IMPOSTO
436296181;35250641796832000143550130001630591684221684;SP;AL;1;2930708784;;0;61046900;6102;;;3;N;;;;0;N;DIFAL
438117307;35250643112531000421550100001491871918839064;SP;AL;1;2940017958;2002200;60;33059000;6106;;;3;N;;;;0;N;DIFAL
435994972;31250614169897001249550010006379011006578136;MG;AL;1;2929135964;1300401;0;30045040;6108;;0000000;3;N;;;;0;N;DIFAL
435994972;31250614169897001249550010006379011006578136;MG;AL;1;2929135965;1300401;0;30045040;6108;;0000000;3;N;;;;0;N;DIFAL
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230183;;0;65050090;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230184;;0;44042000;6102;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230185;;0;40081100;6102;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230186;2006100;10;96159000;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230187;2005300;10;82032090;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230188;2006100;10;96159000;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230189;2005300;10;82032090;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230190;2005300;10;82032090;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230191;;0;68052000;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230192;;0;76071990;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230193;;0;76071990;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230194;;0;65050090;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230195;;0;68053090;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230196;2006100;10;96151100;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230197;2006100;10;96151100;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230198;2006100;10;96151100;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230200;2005700;10;96032900;6401;;;3;N;4772500;248312650;2;0;S;ST
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230201;;0;39233090;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230202;1400500;0;39249000;6101;;;3;N;4772500;248312650;2;0;S;ANT
438158313;35250657407397000158550010006781401735199965;SP;AL;1;2940230203;1400500;0;39249000;6101;;;3;N;4772500;248312650;2;0;S;ANT
