;SEQ_NFE;COD_UF_EMIT;TIP_FIN_NFE;ID_PROD;CEST_COMPLETO;COD_CST;NCM_COMPLETO;CFOP_COMPLETO;EMIT_CNAE_COMPLETO;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_COMPLETO;DEST_SITUACAO;TIPO_IMPOSTO;DEST_IND_SN;DEST_POSSUI_IE;EMIT_CNAE_DIVISAO;EMIT_CNAE_GRUPO;EMIT_CNAE_CLASSE;DEST_CNAE_DIVISAO;DEST_CNAE_GRUPO;DEST_CNAE_CLASSE;NCM_CAPITULO;NCM_POSICAO;NCM_SUBPOSICAO;CFOP_NATUREZA;CFOP_OPERACAO;POSSUI_CEST;CEST_SEGMENTO;CEST_ITEM
7046;437361768;PR;1;2935817263;0;0;33049990;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3304;330499;6;102;0;00;00000
7047;437807285;RJ;1;2938291018;0;0;61071200;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6107;610712;6;102;0;AUSENTE;AUSENTE
7048;438177213;GO;1;2940342330;0;0;61046300;6107;AUSENTE;1;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610463;6;107;0;AUSENTE;AUSENTE
7049;437136771;SC;1;2935078594;0;0;85167990;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;85;8516;851679;6;108;0;AUSENTE;AUSENTE
7050;437136771;SC;1;2935078595;0;0;35069190;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;35;3506;350691;6;108;0;AUSENTE;AUSENTE
7051;437136771;SC;1;2935078596;801000;0;82055900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;82;8205;820559;6;108;1;80;80100
7052;437730389;RJ;1;2937770132;100900;60;57050000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;57;5705;570500;6;102;1;10;10090
7053;438138572;RJ;1;2940111886;0;0;61083200;6102;AUSENTE;3;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6108;610832;6;102;0;AUSENTE;AUSENTE
7054;438120931;SP;1;2940029971;0;0;21069030;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;21;2106;210690;6;108;0;AUSENTE;AUSENTE
7055;438308911;SP;1;2941133935;2805700;0;65070000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;65;6507;650700;6;108;1;28;28057
7056;437569474;SP;1;2936982043;0;0;96170010;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;96;9617;961700;6;102;0;AUSENTE;AUSENTE
7057;438034576;MG;1;2939572161;0;0;63090090;6107;AUSENTE;1;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6309;630900;6;107;0;AUSENTE;AUSENTE
7058;437811670;SC;1;2938309942;2806400;0;95030099;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;95;9503;950300;6;108;1;28;28064
7059;438101260;SP;1;2939912488;0;0;84818019;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;84;8481;848180;6;108;0;AUSENTE;AUSENTE
7060;437000273;SP;1;2934353984;0;0;39219019;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3921;392190;6;107;0;AUSENTE;AUSENTE
7061;437964271;SP;1;2939070978;0;0;76151000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;76;7615;761510;6;108;0;AUSENTE;AUSENTE
