;COD_UF_EMIT;TIP_FIN_NFE;ID_PROD;CEST_COMPLETO;COD_CST;NCM_COMPLETO;CFOP_COMPLETO;EMIT_CNAE_COMPLETO;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_COMPLETO;DEST_SITUACAO;TIPO_IMPOSTO;DEST_IND_SN;DEST_POSSUI_IE;EMIT_CNAE_DIVISAO;EMIT_CNAE_GRUPO;EMIT_CNAE_CLASSE;DEST_CNAE_DIVISAO;DEST_CNAE_GRUPO;DEST_CNAE_CLASSE;NCM_CAPITULO;NCM_POSICAO;NCM_SUBPOSICAO;CFOP_NATUREZA;CFOP_OPERACAO;POSSUI_CEST;CEST_SEGMENTO;CEST_ITEM
6635;SC;1;2935911160;2805900;0;61042200;6108;47814000;3;N;AUSENTE;0;DIFAL;0;0;47;478;4781;AUSENTE;AUSENTE;AUSENTE;61;6104;610422;6;108;1;28;28059
6636;SC;1;2935911161;2805900;0;61042200;6108;47814000;3;N;AUSENTE;0;DIFAL;0;0;47;478;4781;AUSENTE;AUSENTE;AUSENTE;61;6104;610422;6;108;1;28;28059
6637;SP;1;2933685039;0;0;82159910;6108;47130020;3;N;AUSENTE;0;DIFAL;0;0;47;471;4713;AUSENTE;AUSENTE;AUSENTE;82;8215;821599;6;108;0;AUSENTE;AUSENTE
6638;MG;1;2934136929;0;0;33059000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3305;330590;6;108;0;AUSENTE;AUSENTE
6639;SP;1;2935428020;2806000;0;57024900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;57;5702;570249;6;108;1;28;28060
6640;RS;1;2933804725;0;0;39189000;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3918;391890;6;107;0;AUSENTE;AUSENTE
6641;SP;1;2935141533;0;0;44219900;6101;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4421;442199;6;101;0;AUSENTE;AUSENTE
6642;SP;1;2934264114;0;0;33059000;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3305;330590;6;107;0;AUSENTE;AUSENTE
6643;SP;1;2934264115;0;0;33059000;6107;AUSENTE;3;N;AUSENTE;0;DIFAL;1;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;33;3305;330590;6;107;0;AUSENTE;AUSENTE
6644;SP;1;2934623166;0;0;61046900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6104;610469;6;108;0;AUSENTE;AUSENTE
6645;SP;1;2932631210;2805900;0;62069000;6107;47814000;3;N;AUSENTE;0;DIFAL;0;0;47;478;4781;AUSENTE;AUSENTE;AUSENTE;62;6206;620690;6;107;1;28;28059
